new entry "Interrupt_Light_Armor_Master_Dodge"
type "InterruptData"
data "DisplayName" "h2159a4f6ge2d9g4cedg94cag570864cd9a31;1"
data "Description" "h51d4d5acgf9b1g4f57g8eb6g5ded0c7932b4;1"
data "Icon" "PassiveFeature_LightlyArmored"
data "InterruptContext" "OnPostRoll"
data "InterruptContextScope" "Self"
data "Container" "YesNoDecision"
data "Conditions" "((HasInterruptedAttack() and IsFlatValueInterruptInteresting(50, context.Source)) or (HasInterruptedSavingThrow() and HasSpellFlag(SpellFlags.CanAreaDamageEvade) and IsFlatValueInterruptInteresting(50))) and Self(context.Target,context.Observer) and not AnyEntityIsItem()"
data "Properties" "IF(HasInterruptedSavingThrow()):SetRoll(50);IF(HasInterruptedAttack()):SetRoll(0);RemoveStatus(BEN_FRR_LAM_DODGE)"
data "Cost" ""
data "InterruptDefaultValue" "Ask;Enabled"
data "EnableCondition" "HasStatus('BEN_FRR_LAM_DODGE')"
data "EnableContext" "OnStatusApplied"
