new entry "Rush_Charger_Push"
type "SpellData"
data "SpellType" "Rush"
using "Rush_SpringAttack"
data "Cooldown" ""
data "SpellProperties" "RemoveStatus(SLEEP);RemoveStatus(SLEEPING);"
data "TargetRadius" "9"
data "HitRadius" "1.5"
data "MovementSpeed" "40000"
data "SpellRoll" "Dead() or SkillCheck(Skill.Athletics,math.max(context.Target.GetPassiveSkill(Skill.Athletics),context.Target.GetPassiveSkill(Skill.Acrobatics)), IsSneakingOrInvisible())"
data "SpellSuccess" "IF(not Ally()):Force(ShoveDistance,OriginToEntity,Aggressive);IF(Ally()):Force(ShoveDistance,OriginToEntity,Friendly)"
data "TargetConditions" "(Character() and not Dead()) or Item() and DistanceToTargetGreaterThan(3.0) and CanShoveWeight() and IsMovable() and not Grounded()"
data "Icon" "Action_Charger_Attack"
data "DisplayName" "hf0760c7dg872fg4c36g9e12gf1c0a3a76cae;2"
data "Description" "h28b98607g6f65g43afga529g776d2fe1415f;3"
data "ExtraDescription" "heb5d134egcadbg444agbb7fgb9cc2d9dab6d;3"
data "TooltipDamageList" ""
data "TooltipAttackSave" ""
data "TooltipStatusApply" ""
data "PreviewCursor" "Melee"
data "CastTextEvent" "Cast"
data "CycleConditions" "CanShoveWeight() and not Grounded()"
data "UseCosts" "BonusActionPoint:1"
data "SpellFlags" "IsHarmful;AddFallDamageOnLand"
data "VerbalIntent" "Damage"
data "PrepareEffect" "155b9bca-ac9c-4d39-9444-a1cf698e1d0e"
data "CastEffect" "ca9a14f4-9c13-4ea3-ba01-66212648fb62"
data "TargetEffect" ""
data "HitEffect" "ee7db620-5d9e-4c73-958d-e941975b0380"
data "StopAtFirstContact" "0"
data "HitExtension" "1"
data "OnlyHit1Target" "1"
